host_since,name,neighbourhood,property_type,review_scores_rating_bin,room_type,zipcode,beds,number_of_records,number_of_reviews,price,review_scores_rating
3/3/2009,Large Furnished Room Near B'way,Manhattan,Apartment,85.0,Private room,10019.0,1.0,1,242,73,85.0
3/10/2009,"Beautiful Apt, Garden #3 Best Area",Brooklyn,Apartment,95.0,Entire home/apt,11215.0,3.0,1,67,135,97.0
3/10/2009,Gorgeous house Room 2 BEST location,Brooklyn,House,95.0,Private room,11215.0,2.0,1,95,89,96.0
3/10/2009,"Gorgeous Room #1, Best Location",Brooklyn,House,90.0,Private room,11215.0,2.0,1,118,89,92.0
3/14/2009,"Amazing Apt in WILLIAMSBURG, NY!!",Brooklyn,Apartment,95.0,Entire home/apt,11211.0,2.0,1,60,250,96.0
3/14/2009,Cozy Convenient Apt for Travelers,Queens,Apartment,90.0,Entire home/apt,11358.0,1.0,1,0,99,94.0
3/21/2009,BnoB (2 br)  Heart of Williamsburg,Brooklyn,Apartment,90.0,Entire home/apt,11249.0,2.0,1,132,250,93.0
3/21/2009,The InstituteHeart of Williamsburg,Brooklyn,Apartment,90.0,Entire home/apt,11249.0,2.0,1,136,250,94.0
3/21/2009,Great house in Williamsburg,Brooklyn,House,95.0,Entire home/apt,11211.0,2.0,1,14,250,98.0
3/22/2009,"Large, Sunny, Central 2br; Terrace",Brooklyn,Apartment,100.0,Entire home/apt,11217.0,2.0,1,2,240,100.0
3/25/2009,Bright Clean Spacious 1BR,Brooklyn,Apartment,90.0,Entire home/apt,11213.0,1.0,1,0,115,94.0
3/25/2009,Bright Clean Room in Bushwick,Brooklyn,Apartment,90.0,Private room,11237.0,1.0,1,0,72,94.0
3/26/2009,House on 11th - Garden Level Apt.,Brooklyn,Apartment,90.0,Entire home/apt,11215.0,1.0,1,119,165,91.0
3/26/2009,Sunset Retreat - Charming Oasis,Brooklyn,Apartment,90.0,Entire home/apt,11220.0,1.0,1,79,90,90.0
3/26/2009,Sunset Retreat - Top Floor Oasis,Brooklyn,Apartment,85.0,Entire home/apt,11220.0,1.0,1,21,105,88.0
3/26/2009,House on Henry (2nd FLR Suite),Brooklyn,Apartment,85.0,Entire home/apt,11231.0,2.0,1,68,155,88.0
3/26/2009,House on Henry (3rd FLR Suite),Brooklyn,Apartment,90.0,Entire home/apt,11231.0,2.0,1,106,160,94.0
3/30/2009,NYC Historic District Posh Studio,Queens,Apartment,90.0,Private room,11372.0,1.0,1,0,150,94.0
4/3/2009,"Dream Come True, Too! Williamsburg",Brooklyn,Apartment,90.0,Private room,11211.0,1.0,1,43,89,94.0
4/3/2009,"Dream Come True! Williamsburg, BK",Brooklyn,Apartment,90.0,Private room,11211.0,1.0,1,91,99,93.0
4/4/2009,5Minutes To Manhattan Cozy Oasis,Bronx,Apartment,80.0,Private room,10451.0,3.0,1,105,42,81.0
4/4/2009,5Minutes To Manhattan Zen&Cozy,Bronx,Apartment,85.0,Private room,10451.0,3.0,1,96,42,87.0
4/4/2009,Big Room in front of Central Park,Manhattan,Apartment,85.0,Private room,10025.0,1.0,1,74,132,88.0
4/4/2009,Your Room in front of Central Park,Manhattan,Apartment,90.0,Private room,10025.0,1.0,1,141,117,90.0
4/8/2009,Lovely Bklyn Apt with Private Deck,Brooklyn,Apartment,90.0,Entire home/apt,11205.0,1.0,1,5,135,92.0
4/8/2009,Perfectly Situated LES 1-Bedroom,Manhattan,Apartment,90.0,Entire home/apt,10002.0,1.0,1,146,125,91.0
4/8/2009,Real 2-Bedroom East Village Apt!,Manhattan,Apartment,85.0,Entire home/apt,10009.0,3.0,1,63,200,87.0
4/10/2009,Luxury on a Budget,Manhattan,Apartment,90.0,Entire home/apt,10009.0,1.0,1,13,250,92.0
4/12/2009,Spacious clean & quiet 2 bed/2bath,Manhattan,Bed & Breakfast,80.0,Entire home/apt,10128.0,2.0,1,58,295,83.0
4/14/2009,An Oasis In Hell's Kitchen!,Manhattan,Apartment,100.0,Entire home/apt,10019.0,1.0,1,7,280,100.0
4/16/2009,Room with a view in Central Harlem,Manhattan,Apartment,85.0,Private room,10075.0,1.0,1,11,75,85.0
4/18/2009,2 BR Upper West Side Apt.,Manhattan,Apartment,65.0,Entire home/apt,10025.0,3.0,1,12,150,66.0
4/19/2009,BK Heights Apartment for cat lovers,Brooklyn,Apartment,100.0,Entire home/apt,11201.0,3.0,1,4,125,100.0
4/20/2009,Charming 2 Bedroom Red Hook Loft!,Brooklyn,Apartment,100.0,Entire home/apt,11231.0,2.0,1,18,230,100.0
4/20/2009,Private room in Red Hook loft!,Brooklyn,Apartment,95.0,Private room,11231.0,1.0,1,21,110,98.0
4/28/2009,Cozy Furnished 2 Bedroom Apartment,Brooklyn,Apartment,80.0,Entire home/apt,11216.0,3.0,1,8,159,84.0
4/28/2009,"Bright 1 Bedroom, Perfect Location!",Manhattan,Apartment,80.0,Entire home/apt,10023.0,1.0,1,2,160,80.0
4/28/2009,2 Bed 2 Bath Apt w/ balcony & WiFi,Manhattan,Apartment,95.0,Entire home/apt,10031.0,3.0,1,13,107,98.0
4/29/2009,Cute room in hip Fort Greene,Brooklyn,Apartment,80.0,Private room,11205.0,1.0,1,1,50,80.0
5/1/2009,Enjoy and discover New York Citi,Staten Island,House,95.0,Private room,10304.0,1.0,1,7,69,97.0
5/4/2009,"Beautiful, private, uptown studio",Manhattan,Apartment,80.0,Entire home/apt,10031.0,1.0,1,20,110,83.0
5/6/2009,"Large Brooklyn Duplex, Park Slope",Brooklyn,Apartment,90.0,Entire home/apt,11215.0,3.0,1,0,175,94.0
5/12/2009,"Hip Whole Apt in Wmsburg, Brooklyn",Brooklyn,Apartment,90.0,Entire home/apt,11211.0,1.0,1,8,125,93.0
5/12/2009,UES Beautiful Blue Room / Oak Room,Manhattan,Apartment,95.0,Private room,10029.0,2.0,1,150,95,96.0
5/12/2009,UES Beautiful Home Red Velvet Room,Manhattan,Apartment,95.0,Private room,10029.0,2.0,1,41,95,95.0
5/13/2009,Spacious Charming Loft Studio,Manhattan,Loft,90.0,Entire home/apt,10024.0,2.0,1,4,135,91.0
5/15/2009,Bright studio in central Mahattan,Manhattan,Apartment,95.0,Entire home/apt,10016.0,1.0,1,5,100,96.0
5/17/2009,Perfect for Grandparents + Garden,Brooklyn,House,95.0,Entire home/apt,11205.0,2.0,1,80,200,95.0
5/17/2009,Perfect for Parents (Part 2),Brooklyn,House,95.0,Private room,11205.0,1.0,1,32,239,97.0
5/18/2009,Modern LES Studio w/ Skyline Views,Manhattan,Apartment,95.0,Entire home/apt,10002.0,1.0,1,17,220,97.0
5/19/2009,Charming 2 Bedroom by Prospect Park,Brooklyn,Apartment,100.0,Entire home/apt,11218.0,3.0,1,1,199,100.0
5/19/2009,EAST VILLAGE DESIGNER LUXURY LOFT,Manhattan,Apartment,100.0,Entire home/apt,10009.0,3.0,1,4,399,100.0
5/20/2009,Amazing Chinatown/SOHO one bed room,Manhattan,Apartment,85.0,Entire home/apt,10002.0,2.0,1,38,130,86.0
5/20/2009,Giant & beautiful home in the sky.,Manhattan,Apartment,90.0,Private room,10031.0,1.0,1,0,70,94.0
5/21/2009,Charming & Sunny Slope Duplex Loft,Brooklyn,Loft,90.0,Entire home/apt,11215.0,2.0,1,0,110,94.0
5/21/2009,Cosy 2 bedroom in East Village,Manhattan,Apartment,90.0,Entire home/apt,10003.0,3.0,1,55,160,92.0
5/22/2009,Bright & Modern Downtown Studio,Manhattan,Apartment,95.0,Entire home/apt,10003.0,1.0,1,89,135,96.0
5/24/2009,East Village sunny & large 2 bdr,Manhattan,Apartment,95.0,Entire home/apt,10003.0,2.0,1,5,350,96.0
5/24/2009,1 BDR with private toilet/sink,Manhattan,Apartment,90.0,Private room,10031.0,1.0,1,0,60,94.0
5/25/2009,"SPACIOUS, BEAUTIFUL CONDO IN BKLYN!",Brooklyn,Condominium,95.0,Entire home/apt,11215.0,2.0,1,9,375,98.0
5/27/2009,Charming Greenwich Village Apt,Manhattan,Apartment,80.0,Entire home/apt,10012.0,1.0,1,14,225,81.0
6/2/2009,Lg Beautiful Garden Apt Sleeps 2,Manhattan,Apartment,95.0,Entire home/apt,10035.0,1.0,1,8,165,97.0
6/4/2009,Cool East Williamsburg Apartment,Brooklyn,Apartment,95.0,Private room,11206.0,1.0,1,46,40,96.0
6/9/2009,Huge Brooklyn Room with Aussie Host,Brooklyn,Apartment,100.0,Private room,11225.0,1.0,1,12,85,100.0
6/12/2009,UWS Garden Getaway,Manhattan,Apartment,95.0,Entire home/apt,10024.0,2.0,1,9,225,97.0
6/12/2009,"Large, Bright 1 bdr in Williamsburg",Brooklyn,Apartment,95.0,Private room,11222.0,1.0,1,11,110,96.0
6/14/2009,High-end doorman bldg in the LES,Manhattan,Apartment,95.0,Private room,10002.0,1.0,1,55,125,96.0
6/16/2009,Soaring Bushwick 3 Bedroom,Brooklyn,Apartment,95.0,Entire home/apt,11221.0,5.0,1,9,275,98.0
6/16/2009,Modern 1 BR / NYC / EAST VILLAGE,Manhattan,Apartment,90.0,Entire home/apt,10003.0,1.0,1,8,240,93.0
6/18/2009,Modern brick 1 bedroom on UES,Manhattan,Apartment,90.0,Entire home/apt,10028.0,1.0,1,17,175,91.0
6/20/2009,CBG Williamsburg  loft room,Brooklyn,Loft,75.0,Entire home/apt,11211.0,4.0,1,6,130,76.0
6/20/2009,CBG Partner Prospect Pk Helps Haiti,Brooklyn,Apartment,90.0,Private room,11225.0,1.0,1,0,90,94.0
6/20/2009,CBG CtyBeGoodHelpsHaiti#1:1-4,Brooklyn,House,90.0,Private room,11217.0,10.0,1,77,130,91.0
6/20/2009,CommunityBeGood Helps Haiti Rm #2,Brooklyn,House,85.0,Private room,11217.0,1.0,1,39,130,89.0
6/20/2009,CommunityBeGood Helps Haiti Rm #3,Brooklyn,House,85.0,Private room,11217.0,2.0,1,13,130,86.0
6/20/2009,CommunityBeGoodHelpsHaiti #5 Suite,Brooklyn,House,100.0,Private room,11217.0,2.0,1,3,130,100.0
6/20/2009,CommunitybegoodHelpsHaiti#2.5,Brooklyn,House,90.0,Private room,11217.0,2.0,1,17,120,93.0
6/24/2009,Park Slope Oasis: Your home base!,Brooklyn,Apartment,90.0,Entire home/apt,11215.0,1.0,1,18,139,94.0
6/25/2009,"Luxe, Spacious 2BR 2BA Nr Trains",Brooklyn,Apartment,100.0,Entire home/apt,11215.0,2.0,1,3,260,100.0
6/25/2009,"Bright, cozy den in 4 bedrm duplex.",Brooklyn,House,100.0,Private room,11221.0,1.0,1,2,35,100.0
6/26/2009,Spectacular River View Studio,Manhattan,Apartment,95.0,Entire home/apt,10281.0,1.0,1,48,185,96.0
6/28/2009,Williamsburg foodie inspired loft,Brooklyn,Loft,95.0,Entire home/apt,11249.0,1.0,1,16,175,99.0
6/29/2009,Prospect Heights quiet sunny nest,Brooklyn,Apartment,95.0,Entire home/apt,11238.0,2.0,1,6,150,97.0
6/29/2009,1,Brooklyn,Loft,90.0,Private room,11206.0,1.0,1,0,120,94.0
6/30/2009,Large modern 2-BR by McCaren Park,Brooklyn,Apartment,100.0,Entire home/apt,11222.0,1.0,1,2,150,100.0
6/30/2009,Lower East Side/EV 1 BR Charmer,Manhattan,Apartment,95.0,Entire home/apt,10002.0,1.0,1,15,175,96.0
7/1/2009,sunny EAST VILLAGE bdrm!,Manhattan,Apartment,90.0,Private room,10009.0,1.0,1,80,133,91.0
7/2/2009,"3BR, 1.5 BA EV apt w/ backyard",Manhattan,Apartment,95.0,Entire home/apt,10009.0,4.0,1,9,375,96.0
7/8/2009,Beautiful Light Filled Abode,Brooklyn,Apartment,90.0,Entire home/apt,11233.0,2.0,1,0,150,94.0
7/10/2009,MAISON DES SIRENES 3,Brooklyn,Apartment,90.0,Entire home/apt,11216.0,4.0,1,23,150,91.0
7/10/2009,"MAISON DES SIRENES1,book NOW",Brooklyn,Apartment,90.0,Entire home/apt,11216.0,4.0,1,36,150,92.0
7/10/2009,Room in UWS steps to Central Park!,Manhattan,Apartment,90.0,Private room,10025.0,1.0,1,4,180,90.0
7/13/2009,NYC Sofa bed St Marks East Village,Manhattan,Apartment,80.0,Private room,10003.0,1.0,1,30,59,81.0
7/13/2009,NYC Spacious Room East Village,Manhattan,Apartment,70.0,Private room,10003.0,1.0,1,14,99,72.0
7/13/2009,NYC Spacious Room East Village (2),Manhattan,Apartment,90.0,Private room,10003.0,1.0,1,3,99,90.0
7/14/2009,williamsburg design // with balcony,Brooklyn,Apartment,95.0,Entire home/apt,11211.0,1.0,1,20,199,97.0
7/14/2009,"Sunny 2BD, 2 balconies",Brooklyn,Apartment,100.0,Entire home/apt,11222.0,2.0,1,1,300,100.0
7/19/2009,Private room in Harlem apartment,Manhattan,Apartment,90.0,Private room,10039.0,1.0,1,69,85,94.0
7/20/2009,Artist Loft in Midtown West,Manhattan,Apartment,95.0,Entire home/apt,10018.0,2.0,1,6,375,96.0
7/21/2009,Gorgeous Sunny Studio,Manhattan,Apartment,75.0,Entire home/apt,10024.0,2.0,1,38,135,79.0
7/21/2009,Stunning 1br in Historic Brownstone,Manhattan,Apartment,90.0,Entire home/apt,10024.0,2.0,1,26,289,91.0
7/21/2009,Sunny Studios in Historic Browstone,Manhattan,Apartment,80.0,Entire home/apt,10024.0,1.0,1,9,179,80.0
7/23/2009,Great Room in Manhattan - $60/Night,Manhattan,Apartment,90.0,Private room,10030.0,1.0,1,73,60,93.0
7/26/2009,Sunny South Williamsurg,Brooklyn,Apartment,90.0,Entire home/apt,11211.0,1.0,1,0,125,94.0
7/27/2009,Great room in spacious apartment!,Manhattan,Apartment,90.0,Private room,10033.0,1.0,1,0,98,94.0
7/27/2009,Bargain Space,Queens,House,85.0,Private room,11434.0,2.0,1,24,55,88.0
7/27/2009,CRASH PALACE,Queens,House,85.0,Private room,11434.0,2.0,1,11,68,86.0
